beer,beeradvocate_score,beeradvocate_style,beeradvocate_abv,ratebeer_score,untappd_abv,untappd_ibu,untappd_rating
Highland Mandarina IPA,86,American IPA,5%,55,5% ABV,35 IBU,3.62
Highland Oatmeal Porter,,,,84,5.9% ABV,35 IBU,3.66
Highland Pilsner,,,,66,5.5% ABV,30 IBU,3.59
Highland Midnight Summit,90,English Sweet / Milk Stout,6%,78,6% ABV,40 IBU,3.79
Hitachino White Ale,91,Belgian Witbier,5.5%,70,5.5% ABV,13 IBU,3.63
Hitachino Commemorative,,,,87,8% ABV,28 IBU,3.65
Hitachino Ancient Nipponia,86,American Imperial Pilsner,8%,N/A,8% ABV,25 IBU,3.58
Hitachino Dai-Dai Indig,,,,,7% ABV,No IBU,N/A
Hitachino Espresso Stout,,,,98,7% ABV,36 IBU,3.73
Hitachino Hefeweizen,,,,,5.5% ABV,12 IBU,3.53
Hitachino Ginger Ale,83,Herb and Spice Beer,8%,57,8% ABV,18 IBU,3.25
Hitachino XH,,,,94,8% ABV,37 IBU,3.71
Hitachino Sweet Stout,73,English Sweet / Milk Stout,3.9%,25,4% ABV,15 IBU,3.4
Hitachino Yuzu Saiso,85,Belgian Saison,5.5%,N/A,5% ABV,16 IBU,3.56
Hobgoblin,,,,46,5.2% ABV,32 IBU,3.44
Hitachino Yuzu Lager,85,American Lager,5.5%,70,5.5% ABV,No IBU,3.66
Hoof Hearted Rose Gose,88,Leipzig Gose,4.2%,92,4.2% ABV,5 IBU,3.79
Houblon Chouffe IPA Tripel,94,Belgian IPA,9%,98,9% ABV,47 IBU,3.72
Jacks Cider Dry Hopped,,,,N/A,5.5% ABV,No IBU,3.43
Jacks Cider Original,,,,N/A,5.5% ABV,No IBU,3.37
Julius Echter Hefe-Weissbier Dunkel,,,,81,5.3% ABV,No IBU,3.75
Jacks Cider Peach,,,,N/A,5% ABV,No IBU,3.47
Iwate Kura Oyster Stout,89,Russian Imperial Stout,8%,83,7% ABV,30 IBU,3.69
JW Lees Calvados,91,English Barleywine,11.5%,,11.5% ABV,No IBU,3.91
JW Lees Sherry,92,English Barleywine,11.5%,,11.5% ABV,No IBU,3.93
Kagua Blanc,,,,86,8% ABV,No IBU,3.76
Kagua Rouge,86,Belgian Strong Dark Ale,9%,86,9% ABV,No IBU,3.72
Kalik,,,,1,5% ABV,No IBU,2.96
Kinshachi Akamiso Lager,,,,46,6% ABV,No IBU,3.48
Kasteel Barista Chocolate Quad,93,Belgian Quadrupel (Quad),11%,94,11% ABV,No IBU,3.83
Kurikuro Chestnut Ale,,,,98,9% ABV,No IBU,4.16
Koshihikari Echigo,77,Japanese Rice Lager,5%,12,5% ABV,16 IBU,3.47
Kyoto Yamadanishiki Ale,n/a,American Blonde Ale,5%,11,5% ABV,20 IBU,3.39
La Chouffe,,,,97,8% ABV,20 IBU,3.84
Left Hand Brewing Milk Stout,,,,,6% ABV,25 IBU,3.94
Left Hand Brewing Wheels Gose Round,86,Leipzig Gose,4.4%,,4.4% ABV,14 IBU,3.72
Left Hand Brewing Flamingo Dreams NITRO,85,American Blonde Ale,4.7%,,4.7% ABV,11 IBU,3.52
Left Hand Brewing Wake Up Dead,,,,,10.2% ABV,45 IBU,3.91
Left Hand Brewing Sawtooth NITRO,78,English Extra Special / Strong Bitter (ESB),5.3%,,5.3% ABV,27 IBU,3.46
Left Hand Brewing Hard Wired NITRO,90,American Porter,6%,,6% ABV,33 IBU,3.88
Lindemans Framboise,,,,89,2.5% ABV,12 IBU,3.77
Lindemans Kriek,,,,75,3.5% ABV,18 IBU,3.54
Lindemans Peche,,,,62,2.5% ABV,10 IBU,3.58
Lindemans Oude Kriek Cuvee Rene,92,Belgian Fruit Lambic,7%,N/A,7% ABV,No IBU,3.87
Lindemans Pomme,84,Belgian Fruit Lambic,4%,42,4% ABV,12 IBU,3.48
Lindemans Strawberry Lambic,,,,,4.1% ABV,12 IBU,3.81
Maine Beer Lunch IPA,,,,,7% ABV,No IBU,4.2
Maine Beer Peeper Pale Ale,,,,95,5.5% ABV,No IBU,3.82
McChouffe,89,Belgian Strong Dark Ale,8%,97,8% ABV,20 IBU,3.67
Mercier Orchards Grumpy Granny,,,,N/A,6.7% ABV,No IBU,3.57
Monks Cafe Ale,,,,37,5.5% ABV,No IBU,3.84
Mission Trail Plum Jerkum,,,,N/A,6.5% ABV,No IBU,3.8
Nice Chouffe,91,Belgian Strong Dark Ale,10%,96,10% ABV,25 IBU,3.68
Nightmare Ling Chi,91,American Wild Ale,8.1%,N/A,8.1% ABV,No IBU,4.1
Nightmare Windlass of Erasmus,92,Leipzig Gose,6.5%,90,6.5% ABV,No IBU,4.12
North Coast Brewing 2018 Old Stock Cellar Reserve Rye,,,,,13.5% ABV,No IBU,4.15
North Coast Brewing Old Rasputin XXII,,,,,11.3% ABV,No IBU,4.21
North Coast Brewing Scrimshaw Pilsner,85,German Pilsner,4.4%,,4.7% ABV,22 IBU,3.53
North Coast Brewing Brother Thelonious,86,Belgian Strong Dark Ale,9.4%,,9.4% ABV,32 IBU,3.88
North Coast Brewing Old Rasputin Stout,,,,,9% ABV,75 IBU,4.02
North Coast Brewing Old Stock Ale,,,,,12% ABV,34 IBU,3.92
Petrus Aged Pale,,,,91,7.3% ABV,24 IBU,3.67
Petrus Brewmaster Wild Tripel,,,,N/A,8% ABV,50 IBU,3.56
Petrus Aged Red,85,Flanders Oud Bruin,8.5%,67,8.5% ABV,18 IBU,3.63
Piraat,,,,92,10.5% ABV,23 IBU,3.67
Possman Heisser Mulled Cider,,,,,5.5% ABV,No IBU,3.54
Possmann Rose Cider,,,,,5% ABV,No IBU,3.6
PRESS Variety,,,,,7.5% ABV,No IBU,N/A
PRESS Blackberry Hibiscus,,,,,4% ABV,No IBU,3.59
PRESS Grapefruit Cardamom,,,,,4% ABV,No IBU,3.35
PRESS Lime Lemongrass,,,,,4% ABV,No IBU,3.35
PRESS Pomegranate Ginger,,,,,6% ABV,35 IBU,3.84
Public Access Omniscient Signal,90,New England IPA,8%,79,8% ABV,No IBU,3.88
Public Access On Air,89,New England IPA,8%,93,8% ABV,No IBU,4.05
Public Access Psychic Mirror,,,,N/A,8% ABV,No IBU,4.04
Public Access Silent Rejoice,91,New England IPA,7%,80,7% ABV,No IBU,4.07
Public Access Suspended Disbelief,90,New England IPA,8%,87,8% ABV,No IBU,3.9
Puffed Rice Pale Ale,,,,,7.8% ABV,16 IBU,3.46
Quarta Runa,87,Fruit and Field Beer,7%,84,7% ABV,No IBU,3.91
Quest Golden Fleece,,,,79,4.5% ABV,35 IBU,3.43
Quest Ponce Jalapeno Saison,87,Belgian Saison,5%,,5% ABV,22 IBU,3.56
Remartello,,,,N/A,5.6% ABV,No IBU,3.57
Service Rally Point Pils,,,,,4.6% ABV,30 IBU,3.45
Service Lincolns Gift,89,English Sweet / Milk Stout,5.5%,73,5.5% ABV,23 IBU,3.73
Six Bridges Blueberry Sour Continuum,n/a,Berliner Weisse,5%,N/A,5% ABV,No IBU,3.96
Six Bridges Medlock IPA,n/a,New England IPA,6.2%,,6.2% ABV,No IBU,3.87
Six Bridges Silent Accord,n/a,American Stout,6.5%,N/A,6.5% ABV,No IBU,3.83
SLO Brew Cali-Squeeze,,,,N/A,5.4% ABV,15 IBU,3.75
SLO Brew Mango-Squeeze,,,,N/A,5.4% ABV,15 IBU,3.74
Southern Tier 2X IPA,,,,61,8.2% ABV,80 IBU,3.81
Southern Tier Nu Juice,86,American IPA,6%,82,6% ABV,30 IBU,3.67
Southern Tier Pumking,,,,N/A,8.6% ABV,33 IBU,3.93
St Peters Cream Stout,88,English Sweet / Milk Stout,6.5%,93,6.5% ABV,31 IBU,3.61
St Peters Old - Style Porter,87,English Porter,5.1%,72,5.1% ABV,No IBU,3.62
Southern Tier Swipe Light,82,American Pale Ale (APA),4%,35,4% ABV,15 IBU,3.31
St. Barnardus Abt,,,,99,10% ABV,22 IBU,4.05
St. Barnardus Prior,,,,98,8% ABV,23 IBU,3.73
St. Barnardus Tripel,,,,97,8% ABV,30 IBU,3.78
St. Barnardus Witbier,,,,,5.5% ABV,10 IBU,3.62
St. Barnardus Pater,,,,93,6.7% ABV,No IBU,3.57
St. Barnardus 2017 Abt,,,,,10% ABV,22 IBU,4.01
St. Barnardus 2018 Abt,,,,,10% ABV,No IBU,4.06
St. Barnardus 2016 Abt,,,,,10% ABV,22 IBU,4.14
St. Barnardus 2019 Abt,,,,,10% ABV,22 IBU,4
St. Barnardus Sour Abt,,,,77,10% ABV,22 IBU,3.88
Steady Winter Ale,n/a,Belgian Saison,6.5%,N/A,6.5% ABV,25 IBU,3.7
Steady Hand Circles of the Sun,n/a,American Stout,6.4%,N/A,6.4% ABV,16 IBU,3.7
Steady Hand Cloudland IPA,n/a,New England IPA,6%,N/A,6% ABV,45 IBU,3.71
Steady Hand Lager,,,,N/A,5% ABV,No IBU,3.62
Steady Hand Paradise Waits IPA,n/a,American IPA,7%,N/A,7% ABV,75 IBU,3.67
Stillwater Preternatural Cuvee,,,,N/A,8.3% ABV,No IBU,4.23
Stillwater Big Bunny,88,English Sweet / Milk Stout,8%,93,8% ABV,60 IBU,3.84
Stillwater On Fleek,92,American Imperial Stout,13%,98,13% ABV,50 IBU,3.97
Stillwater ASRM Frisson,,,,63,6% ABV,No IBU,3.75
Stillwater Double Mocha Stout,,,,83,6.5% ABV,No IBU,3.69
Stillwater Blown Speakers,90,American Imperial IPA,10%,92,10% ABV,No IBU,3.94
Stillwater Gose Gone Wild,,,,99,4.3% ABV,No IBU,4.06
Stillwater Password,89,American Imperial IPA,8%,85,8% ABV,No IBU,4.14
Stillwater Still Searching,92,American Imperial Stout,12%,81,12% ABV,No IBU,3.83
Stone Arrogant Bastard,,,,80,7.2% ABV,100 IBU,3.74
Stone IPA,,,,99,6.9% ABV,71 IBU,3.79
Stone Delicious IPA,,,,94,7.7% ABV,75 IBU,3.76
Stone Ripper Pale,,,,N/A,5.7% ABV,40 IBU,3.66
Stone Ghost Hammer IPA,87,American IPA,6.7%,82,6.7% ABV,56 IBU,3.72
Stone Scorpion Bowl,,,,90,7.5% ABV,76 IBU,3.72
Sierra Nevada Torpedo Extra IPA,,,,96,7.2% ABV,65 IBU,3.74
Sierra Nevada Tropical Torpedo,,,,88,6.7% ABV,55 IBU,3.61
Smirnoff Cranberry Lime,,,,,4.5% ABV,No IBU,2.89
Smirnoff Green Apple,,,,,4.5% ABV,No IBU,2.88
Smirnoff Ice Black Cherry,,,,,4.5% ABV,No IBU,3.45
Smirnoff Ice Grape,,,,,4.5% ABV,No IBU,2.8
Smirnoff Ice Peach Bellini,,,,,5.8% ABV,No IBU,2.99
Smirnoff Ice Raspberry,,,,,4.5% ABV,No IBU,2.79
Smirnoff Ice Margarita,,,,,4.5% ABV,No IBU,2.96
Smirnoff Ice Screwdriver,,,,,5.8% ABV,No IBU,3.07
Smirnoff Ice Strawberry,,,,,8% ABV,No IBU,2.95
Smirnoff Ice Watermelon Mimosa,,,,,5.8% ABV,No IBU,3.03
Smirnoff Ice,,,,,4.5% ABV,No IBU,2.67
Smirnoff Ice Smash Blue Raspberry,,,,,8% ABV,No IBU,3.15
Smirnoff Ice Zero Sugar,,,,,No ABV,No IBU,N/A
Smirnoff Ice Smash Cherry Lime,,,,,8% ABV,No IBU,2.94
Smirnoff Ice Smash Ice Smash Screwdriver,,,,,8% ABV,No IBU,3
Smirnoff Ice Smash Lemon Lime,,,,,8% ABV,No IBU,2.91
Smirnoff Ice Smash Pineapple Coconut,,,,,8% ABV,No IBU,2.91
Smirnoff Mango Mango,,,,,4.5% ABV,No IBU,2.8
Smirnoff Seltzer Rose Seltzer Rose,,,,,4.5% ABV,No IBU,2.88
Smirnoff Spiked Seltzer Berry Lemonade Seltzer Berry Lemonade,,,,,4.5% ABV,No IBU,2.98
Smirnoff Spiked Seltzer Pina Colada Seltzer Pina Colada,,,,,4.5% ABV,No IBU,2.9
Smirnoff Spiked Seltzer Watermelon Seltzer Watermelon,,,,,4.5% ABV,No IBU,2.67
Smithwick's,,,,33,4.5% ABV,No IBU,3.53
Sol,,,,0,4.5% ABV,No IBU,2.89
Southbound Disco The Purple One,,,,,5% ABV,1 IBU,N/A
Southbound Hop'lin Ipa,86,American IPA,6.2%,47,6.3% ABV,65 IBU,3.64
Southbound Light Lager,n/a,American Light Lager,4.8%,N/A,4.2% ABV,10 IBU,3.5
Southbound Mountain Jam Southern Jager,,,,,5% ABV,No IBU,3.54
Southbound Scattered Sun,,,,48,5.2% ABV,15 IBU,3.57
Steel Reserve Blk Berry,69,Fruit and Field Beer,8%,5,8% ABV,No IBU,2.7
Steel Reserve Spike Blue Razz,,,,8,8% ABV,No IBU,N/A
Sierra Nevada Trip in the Woods Rum BA Quad,90,Belgian Quadrupel (Quad),11.7%,93,11.7% ABV,No IBU,4.16
Steel Reserve Spiked Limeade,n/a,Fruit and Field Beer,8%,4,8% ABV,No IBU,2.66
Steel Reserve Spiked Punch,71,Fruit and Field Beer,8%,5,8% ABV,No IBU,2.73
Steel Reserve Spiked Strawberry Burst,n/a,American Malt Liquor,8%,N/A,8% ABV,No IBU,2.91
Steel Reserve Spiked Tropic Storm,66,American Malt Liquor,8%,7,8% ABV,No IBU,2.73
Steel Reserve Spiked Watermelon,76,Fruit and Field Beer,8%,13,8% ABV,No IBU,2.89
Steel Reserve Triple Export,62,American Malt Liquor,8.1%,1,8.1% ABV,No IBU,2.38
Steel Reserve,,,,0,8.1% ABV,No IBU,2.09
Stella Artois Cidre,,,,17,4.5% ABV,10 IBU,3.43
Stella Artois Spritzer,,,,N/A,3.5% ABV,No IBU,3.3
Stella Artois,,,,8,5% ABV,24 IBU,3.25
Strongbow Artisanal Blend,,,,36,6% ABV,No IBU,3.47
Strongbow Dry Cider,,,,N/A,5% ABV,No IBU,3.4
Strongbow Gold Cider,,,,,5% ABV,No IBU,3.47
Strongbow Rose Apple,,,,36,4% ABV,No IBU,3.26
Sweetwater 420,,,,56,5.7% ABV,39 IBU,3.61
Sweetwater 23rd Anniversary,,,,,6.8% ABV,No IBU,3.75
Sweetwater 420 Strain G13,89,American IPA,6%,76,6% ABV,48 IBU,3.74
Sweetwater Blue,,,,32,4.6% ABV,10 IBU,3.53
Sweetwater Chocolope Stout,86,American Stout,6.4%,63,6.4% ABV,35 IBU,3.52
Terrapin Himalayan Pink Sea Salt Lime Gose,n/a,Leipzig Gose,4.5%,N/A,4.5% ABV,No IBU,3.79
Terrapin Hoppin Bubbly,84,American Brut IPA,6.5%,46,6.5% ABV,26 IBU,3.57
Terrapin Hopsecutioner,,,,92,7.3% ABV,71 IBU,3.76
Terrapin Irish Buh Bye,93,American Imperial Stout,9.4%,97,9.4% ABV,50 IBU,4.21
Terrapin Liquid Bliss,,,,90,6.1% ABV,30 IBU,3.86
Terrapin Jazz Cabbage,85,American IPA,6%,45,6% ABV,52 IBU,3.67
Terrapin Los Bravos,,,,N/A,4.8% ABV,25 IBU,3.61
Terrapin Luau,,,,82,6.5% ABV,72 IBU,3.75
Terrapin Miss Thing,,,,,No ABV,No IBU,3.73
Terrapin Mosaic,,,,N/A,6.3% ABV,75 IBU,3.71
Terrapin Mr Krunkles,,,,N/A,6.5% ABV,No IBU,3.7
Terrapin Magic Brownie,n/a,American Porter,6.63%,N/A,6.63% ABV,30 IBU,3.56
Terrapin Naked Bliss,n/a,American Porter,6.1%,53,6% ABV,45 IBU,3.68
Terrapin RecAle,,,,,4.7% ABV,42 IBU,3.59
Terrapin Senior Krunkles,,,,70,6.5% ABV,No IBU,3.7
Terrapin So Fresh So Green Green,,,,87,6.6% ABV,65 IBU,3.72
Terrapin Up High Ipa,,,,,5.9% ABV,80 IBU,3.73
Terrapin Touch of Grisette,n/a,Belgian Saison,4.5%,48,4.2% ABV,23 IBU,3.44
Terrapin White Chocolate Moo-Hoo,,,,89,8.5% ABV,30 IBU,4.04
Terrapin Wake-N-Bake,93,American Imperial Stout,93,99,9.4% ABV,50 IBU,4.03
Terrapin Watermelon Gose,86,Leipzig Gose,4.5%,73,4.5% ABV,7 IBU,3.68
Tona Cerveza,65,American Adjunct Lager,4.6%,,4.6% ABV,No IBU,3.02
Treehorn Cider Airing Of Grievances,,,,,5.9% ABV,No IBU,4.04
Treehorn Cider El Treeablo,,,,,5.9% ABV,No IBU,3.71
Treehorn Cider Hoppy Little Trees,,,,,5.9% ABV,No IBU,3.55
Treehorn Cider Miyabi,,,,,5.9% ABV,No IBU,3.76
Treehorn Dry Cider,,,,N/A,5.9% ABV,10 IBU,3.77
Treehorn Cider Forest Moon,,,,,5.9% ABV,No IBU,3.91
Treehorn Cider Peaches En Regalia,,,,,5.9% ABV,No IBU,3.74
Treehorn Cider Roots,,,,,5.9% ABV,No IBU,3.9
Truly Black Cherry,,,,,5% ABV,No IBU,3.14
Truly Blueberry,,,,,5% ABV,No IBU,3.18
Truly Colima Lime,,,,,5% ABV,5 IBU,2.91
Truly Grapefruit,,,,,5% ABV,No IBU,3.01
Truly Lemonade,,,,,5% ABV,No IBU,3.36
Truly Lemonade Variety,,,,,5% ABV,No IBU,N/A
Truly Pineapple,,,,,5% ABV,No IBU,3.11
Truly Pomegrante,,,,,5% ABV,No IBU,2.82
Truly Rose,,,,,5% ABV,No IBU,3.13
Truly Watermelon Kiwi,,,,,5% ABV,No IBU,3.16
Truly Wild Berry,,,,,5% ABV,No IBU,3.1
Twisted Tea Tea,,,,N/A,5% ABV,No IBU,3.13
Twisted Tea Tea Peach,,,,,5% ABV,No IBU,3.29
Two Tides Tides Dry Hopped Pilsner,,,,,5% ABV,No IBU,3.57
Unveiled Brown Ale,84,American Brown Ale,5.6%,N/A,5.6% ABV,No IBU,3.5
Unveiled Double IPA,88,American Imperial IPA,8%,16,8% ABV,No IBU,3.53
Unveiled Mango IPA,84,American IPA,6.5%,,6.5% ABV,No IBU,3.39
Unveiled Vanilla Dark Ale,87,American Porter,6.5%,N/A,6.5% ABV,No IBU,3.75
Warsteiner Dark,,,,0,4.8% ABV,28 IBU,3.62
Warsteiner Grapefruit,,,,8,2.5% ABV,No IBU,3.3
Warsteiner Pilsner,,,,N/A,4.8% ABV,28 IBU,3.2
Warsteiner Oktoberfest,79,German Märzen / Oktoberfest,5.9%,28,5.9% ABV,21 IBU,3.59
White Claw Black Cherry,,,,,5% ABV,No IBU,3.29
White Claw Grapefruit Seltzer,,,,,5% ABV,No IBU,3.17
White Claw Mango,,,,,5% ABV,No IBU,3.45
White Claw Natual Lime,,,,,5% ABV,No IBU,3.15
White Claw Pure,,,,,5% ABV,No IBU,2.6
White Claw Raspberry,,,,,5% ABV,No IBU,3.24
Wrecking Bar Breaking Bob,84,German Kölsch,4.8%,59,4.8% ABV,21 IBU,3.54
Wrecking Bar County IPL,,,,,6.4% ABV,55 IBU,3.72
Wrecking Bar Jemmy Dean Coffee Stout,,,,,8.2% ABV,No IBU,4.23
Wrecking Bar Jemmy Stout,,,,N/A,6.9% ABV,65 IBU,3.8
Wrecking Bar Brewers Doop Oak Aged,,,,N/A,5.5% ABV,30 IBU,3.85
Wrecking Bar Juice Bar Pale Ale,n/a,American Pale Ale (APA),6%,N/A,5.5% ABV,30 IBU,3.83
Wrecking Bar Juice Willis Ipa,,,,N/A,6.5% ABV,60 IBU,4.04
Wrecking Bar Sow Your Wild Oatmeal Porter,86,American Porter,6.5%,85,6.5% ABV,35 IBU,3.82
